Used SVM.
Freeze all layer and unfroze only the last 5 layer




accuracy of classes:
Class: Artic_Tern, Accuracy: 0.5714285714285714
Class: Blue_winged_Warbler, Accuracy: 0.8571428571428571
Class: Kentucky_Warbler, Accuracy: 0.8333333333333334
Class: Boat_tailed_Grackle, Accuracy: 0.8571428571428571
Class: Ovenbird, Accuracy: 1.0
Class: Belted_Kingfisher, Accuracy: 0.5
Class: Evening_Grosbeak, Accuracy: 0.8
Class: Henslow_Sparrow, Accuracy: 0.7142857142857143
Class: Rose_breasted_Grosbeak, Accuracy: 0.75
Class: Sage_Thrasher, Accuracy: 1.0
Class: American_Redstart, Accuracy: 0.6666666666666666
Class: Spotted_Catbird, Accuracy: 1.0
Class: Cactus_Wren, Accuracy: 0.8
Class: White_breasted_Kingfisher, Accuracy: 1.0
Class: Geococcyx, Accuracy: 1.0
Class: Gray_crowned_Rosy_Finch, Accuracy: 1.0
Class: Scott_Oriole, Accuracy: 1.0
Class: Mallard, Accuracy: 1.0
Class: Yellow_headed_Blackbird, Accuracy: 1.0
Class: Hooded_Merganser, Accuracy: 0.8571428571428571
Class: Harris_Sparrow, Accuracy: 0.8
Class: Green_Kingfisher, Accuracy: 1.0
Class: Brown_Pelican, Accuracy: 1.0
Class: Gadwall, Accuracy: 1.0
Class: Parakeet_Auklet, Accuracy: 1.0
Class: Red_winged_Blackbird, Accuracy: 0.8
Class: Golden_winged_Warbler, Accuracy: 1.0
Class: Rufous_Hummingbird, Accuracy: 1.0
Class: White_necked_Raven, Accuracy: 1.0
Class: Tree_Sparrow, Accuracy: 0.75
Class: Great_Grey_Shrike, Accuracy: 0.5
Class: Horned_Lark, Accuracy: 1.0
Class: Indigo_Bunting, Accuracy: 1.0
Class: Tennessee_Warbler, Accuracy: 0.6666666666666666
Class: Pacific_Loon, Accuracy: 1.0
Class: Winter_Wren, Accuracy: 0.7142857142857143
Class: Vermilion_Flycatcher, Accuracy: 1.0
Class: Sooty_Albatross, Accuracy: 0.8
Class: Downy_Woodpecker, Accuracy: 0.875
Class: Pileated_Woodpecker, Accuracy: 1.0
Class: White_crowned_Sparrow, Accuracy: 0.4
